Id,Label,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum,modularity_class,clustering,eigencentrality,pageranks
792,,6,6,12,6,0.366337,0.391597,1037.792141,0,70,0,0.388889,0.061543,0.000751
59,,2,7,9,6,0.360705,0.386036,267.90721,0,70,0,0.321429,0.014044,0.000266
294,,3,0,3,0,0,0,0,0,66,0,0.333333,0.002982,0.000268
793,,6,10,16,6,0.368159,0.394941,2725.023954,0,70,0,0.198718,0.061539,0.000734
60,,2,7,9,6,0.3603,0.385603,210.400035,0,70,0,0.339286,0.012894,0.000254
796,,7,11,18,6,0.37057,0.397315,1577.403871,0,70,0,0.285714,0.024899,0.000649
61,,2,7,9,6,0.3603,0.385603,210.344479,0,70,0,0.339286,0.012894,0.000254
797,,7,11,18,6,0.37057,0.397315,1576.959427,0,70,0,0.285714,0.024899,0.000648
62,,2,7,9,6,0.3603,0.385603,210.767245,0,70,0,0.339286,0.012894,0.000254
798,,7,11,18,6,0.37057,0.397315,1576.228624,0,70,0,0.285714,0.024892,0.000647
63,,3,7,10,6,0.360435,0.385776,691.649402,0,70,0,0.277778,0.013304,0.000294
799,,7,12,19,6,0.370856,0.398008,1716.95923,0,70,0,0.252381,0.024937,0.00061
64,,2,7,9,6,0.360705,0.386036,210.767245,0,70,0,0.339286,0.012894,0.000245
800,,7,13,20,6,0.371572,0.399012,2137.753747,0,70,0,0.216667,0.024892,0.000631
65,,2,7,9,6,0.3603,0.385603,210.809092,0,70,0,0.339286,0.012891,0.000253
801,,7,11,18,6,0.37057,0.397315,1576.568051,0,70,0,0.285714,0.024806,0.000641
66,,2,7,9,6,0.360705,0.386036,210.933879,0,70,0,0.339286,0.012891,0.000245
802,,7,13,20,6,0.371572,0.399012,2137.448831,0,70,0,0.216667,0.024801,0.000626
68,,3,3,6,6,0.304334,0.317897,93.150486,0,70,4,0,0.012476,0.000813
891,,3,5,8,5,0.363156,0.386019,320.791491,0,70,4,0.35,0.047471,0.000658
69,,6,6,12,6,0.28941,0.307814,238.111615,0,70,1,0.196429,0.024482,0.001122
212,,2,3,5,6,0.30119,0.311972,161.837462,0,70,1,0.2,0.042053,0.000518
218,,20,29,49,5,0.384339,0.418001,15972.706373,0,70,2,0.066145,0.044996,0.004119
315,,3,5,8,6,0.36057,0.384286,193.27641,0,70,1,0.45,0.047884,0.000586
565,,16,17,33,5,0.377403,0.40648,1971.306566,0,70,1,0.228261,0.122445,0.003334
70,,1,3,4,6,0.369858,0.395426,972.304057,0,70,4,0.166667,0.000502,0.000459
144,,2,4,6,6,0.370427,0.396674,9.633333,0,70,8,0.466667,0.041253,0.000489
71,,3,2,5,6,0.308037,0.318832,968.839987,0,70,7,0.35,0.015915,0.000399
119,,1,2,3,6,0.369148,0.394421,177.812401,0,70,7,0.166667,0.000937,0.000335
72,,2,3,5,6,0.36057,0.384685,1.6625,0,70,0,0.5,0.012881,0.000265
